Linguagem_Tipo,Tamanho,Operacao,Tempo(ms),Memoria(bytes)
CPP_ArrayManual,10000,remocaoValor,0.000274,4395008
CPP_ArrayManual,10000,remocaoIndice,0.000318,4395008
CPP_ArrayManual,10000,adicaoInicio,0.000238,4395008
CPP_ArrayManual,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,10000,busca,1e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.000276,4395008
CPP_ArrayManual,10000,remocaoIndice,0.000314,4395008
CPP_ArrayManual,10000,adicaoInicio,0.00024,4395008
CPP_ArrayManual,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,10000,busca,1.1e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.00027,4395008
CPP_ArrayManual,10000,remocaoIndice,0.000318,4395008
CPP_ArrayManual,10000,adicaoInicio,0.000241,4395008
CPP_ArrayManual,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,10000,busca,1.1e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.00027,4395008
CPP_ArrayManual,10000,remocaoIndice,0.000313,4395008
CPP_ArrayManual,10000,adicaoInicio,0.000258,4395008
CPP_ArrayManual,10000,adicaoFinal,2.2e-05,4395008
CPP_ArrayManual,10000,busca,1.1e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.000269,4395008
CPP_ArrayManual,10000,remocaoIndice,0.000308,4395008
CPP_ArrayManual,10000,adicaoInicio,0.000248,4395008
CPP_ArrayManual,10000,adicaoFinal,1.5e-05,4395008
CPP_ArrayManual,10000,busca,1e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.00027,4395008
CPP_ArrayManual,10000,remocaoIndice,0.00031,4395008
CPP_ArrayManual,10000,adicaoInicio,0.00024,4395008
CPP_ArrayManual,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,10000,busca,1e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.000271,4395008
CPP_ArrayManual,10000,remocaoIndice,0.000321,4395008
CPP_ArrayManual,10000,adicaoInicio,0.000242,4395008
CPP_ArrayManual,10000,adicaoFinal,1.2e-05,4395008
CPP_ArrayManual,10000,busca,1.1e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.000268,4395008
CPP_ArrayManual,10000,remocaoIndice,0.000312,4395008
CPP_ArrayManual,10000,adicaoInicio,0.00024,4395008
CPP_ArrayManual,10000,adicaoFinal,1.2e-05,4395008
CPP_ArrayManual,10000,busca,1.1e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.000269,4395008
CPP_ArrayManual,10000,remocaoIndice,0.000316,4395008
CPP_ArrayManual,10000,adicaoInicio,0.000237,4395008
CPP_ArrayManual,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,10000,busca,1.1e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.000271,4395008
CPP_ArrayManual,10000,remocaoIndice,0.000319,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000265,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.7e-05,4395008
CPP_ArrayNativo,10000,busca,1.7e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000349,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000341,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.00025,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.2e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000273,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000315,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000237,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000379,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000317,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000233,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayNativo,10000,busca,1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000271,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.00032,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000237,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000269,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000316,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000241,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000271,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000311,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000237,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000267,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000318,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000238,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.2e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000271,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000319,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000239,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.2e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000271,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000319,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000236,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.2e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000265,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000323,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000237,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000268,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000318,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000262,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.00029,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.00031,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000234,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.2e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.00027,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000308,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000238,4395008
CPP_ArrayNativo,10000,adicaoFinal,1e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000271,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000321,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000239,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000275,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000313,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000234,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000268,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000321,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000245,4395008
CPP_ArrayNativo,10000,adicaoFinal,1e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000271,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000307,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000247,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000271,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000319,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000236,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.2e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000271,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000315,4395008
