Linguagem_Tipo,Tamanho,Operacao,Tempo(ms),Memoria(bytes)
Haskell_dataVector,50000,busca,0.02,56584
Haskell_dataVector,50000,adicaoInicio,56.05,168696688
Haskell_dataVector,50000,remocaoIndice,1180.10,1674415328
Haskell_dataVector,50000,remocaoValor,668.21,2175259688
