Linguagem_Tipo,Tamanho,Operacao,Tempo_Media(ms),Memoria(bytes)
Haskell_dataVector,10000,busca,0.01,56584
Haskell_dataVector,10000,adicaoInicio,79.56,168696688
Haskell_dataVector,10000,remocaoIndice,200.90,333584128
Haskell_dataVector,10000,remocaoValor,109.91,435124967
